date,weekday,datename,weekend
2019-07-06,Saturday,,1.0
2019-07-07,Sunday,,1.0
2019-07-08,Monday,,
2019-07-09,Tuesday,,
2019-07-10,Wednesday,,
2019-07-11,Thursday,,
2019-07-12,Friday,,
2019-07-13,Saturday,,1.0
2019-07-14,Sunday,,1.0
2019-07-15,Monday,,
2019-07-16,Tuesday,,
2019-07-17,Wednesday,제헌절,1.0
2019-07-18,Thursday,,
2019-07-19,Friday,,
2019-07-20,Saturday,,1.0
2019-07-21,Sunday,,1.0
2019-07-22,Monday,,
2019-07-23,Tuesday,,
2019-07-24,Wednesday,,
2019-07-25,Thursday,,
2019-07-26,Friday,,
2019-07-27,Saturday,,1.0
2019-07-28,Sunday,,1.0
2019-07-29,Monday,,
2019-07-30,Tuesday,,
2019-07-31,Wednesday,,
2019-08-01,Thursday,,
2019-08-02,Friday,,
2019-08-03,Saturday,,1.0
2019-08-04,Sunday,,1.0
2019-08-05,Monday,,
2019-08-06,Tuesday,,
2019-08-07,Wednesday,,
2019-08-08,Thursday,,
2019-08-09,Friday,,
2019-08-10,Saturday,,1.0
2019-08-11,Sunday,,1.0
2019-08-12,Monday,,
2019-08-13,Tuesday,,
2019-08-14,Wednesday,,
2019-08-15,Thursday,광복절,1.0
2019-08-16,Friday,,
2019-08-17,Saturday,,1.0
2019-08-18,Sunday,,1.0
2019-08-19,Monday,,
2019-08-20,Tuesday,,
2019-08-21,Wednesday,,
2019-08-22,Thursday,,
2019-08-23,Friday,,
2019-08-24,Saturday,,1.0
2019-08-25,Sunday,,1.0
2019-08-26,Monday,,
2019-08-27,Tuesday,,
2019-08-28,Wednesday,,
2019-08-29,Thursday,,
2019-08-30,Friday,,
2019-08-31,Saturday,,1.0
2019-09-01,Sunday,,1.0
2019-09-02,Monday,,
2019-09-03,Tuesday,,
2019-09-04,Wednesday,,
2019-09-05,Thursday,,
2019-09-06,Friday,,
2019-09-07,Saturday,,1.0
2019-09-08,Sunday,,1.0
2019-09-09,Monday,,
2019-09-10,Tuesday,,
2019-09-11,Wednesday,,
2019-09-12,Thursday,추석,1.0
2019-09-13,Friday,추석,1.0
2019-09-14,Saturday,추석,1.0
2019-09-15,Sunday,,1.0
2019-09-16,Monday,,
2019-09-17,Tuesday,,
2019-09-18,Wednesday,,
2019-09-19,Thursday,,
2019-09-20,Friday,,
2019-09-21,Saturday,,1.0
2019-09-22,Sunday,,1.0
2019-09-23,Monday,,
2019-09-24,Tuesday,,
2019-09-25,Wednesday,,
2019-09-26,Thursday,,
2019-09-27,Friday,,
2019-09-28,Saturday,,1.0
2019-09-29,Sunday,,1.0
2019-09-30,Monday,,
2019-10-01,Tuesday,,
2019-10-02,Wednesday,,
2019-10-03,Thursday,개천절,1.0
2019-10-04,Friday,,
2019-10-05,Saturday,,1.0
2019-10-06,Sunday,,1.0
2019-10-07,Monday,,
2019-10-08,Tuesday,,
2019-10-09,Wednesday,한글날,1.0
2019-10-10,Thursday,,
2019-10-11,Friday,,
2019-10-12,Saturday,,1.0
2019-10-13,Sunday,,1.0
2019-10-14,Monday,,
2019-10-15,Tuesday,,
2019-10-16,Wednesday,,
2019-10-17,Thursday,,
2019-10-18,Friday,,
2019-10-19,Saturday,,1.0
2019-10-20,Sunday,,1.0
2019-10-21,Monday,,
2019-10-22,Tuesday,,
2019-10-23,Wednesday,,
2019-10-24,Thursday,,
2019-10-25,Friday,,
2019-10-26,Saturday,,1.0
2019-10-27,Sunday,,1.0
2019-10-28,Monday,,
2019-10-29,Tuesday,,
2019-10-30,Wednesday,,
2019-10-31,Thursday,,
