date,weekday,datename,weekend
2017-07-30,Sunday,,1.0
2017-07-31,Monday,,
2017-08-01,Tuesday,,
2017-08-02,Wednesday,,
2017-08-03,Thursday,,
2017-08-04,Friday,,
2017-08-05,Saturday,,1.0
2017-08-06,Sunday,,1.0
2017-08-07,Monday,,
2017-08-08,Tuesday,,
2017-08-09,Wednesday,,
2017-08-10,Thursday,,
2017-08-11,Friday,,
2017-08-12,Saturday,,1.0
2017-08-13,Sunday,,1.0
2017-08-14,Monday,,
2017-08-15,Tuesday,광복절,1.0
2017-08-16,Wednesday,,
2017-08-17,Thursday,,
2017-08-18,Friday,,
2017-08-19,Saturday,,1.0
2017-08-20,Sunday,,1.0
2017-08-21,Monday,,
2017-08-22,Tuesday,,
2017-08-23,Wednesday,,
2017-08-24,Thursday,,
2017-08-25,Friday,,
2017-08-26,Saturday,,1.0
2017-08-27,Sunday,,1.0
2017-08-28,Monday,,
2017-08-29,Tuesday,,
2017-08-30,Wednesday,,
2017-08-31,Thursday,,
2017-09-01,Friday,,
2017-09-02,Saturday,,1.0
2017-09-03,Sunday,,1.0
2017-09-04,Monday,,
2017-09-05,Tuesday,,
2017-09-06,Wednesday,,
2017-09-07,Thursday,,
2017-09-08,Friday,,
2017-09-09,Saturday,,1.0
2017-09-10,Sunday,,1.0
2017-09-11,Monday,,
2017-09-12,Tuesday,,
2017-09-13,Wednesday,,
2017-09-14,Thursday,,
2017-09-15,Friday,,
2017-09-16,Saturday,,1.0
2017-09-17,Sunday,,1.0
2017-09-18,Monday,,
2017-09-19,Tuesday,,
2017-09-20,Wednesday,,
2017-09-21,Thursday,,
2017-09-22,Friday,,
2017-09-23,Saturday,,1.0
2017-09-24,Sunday,,1.0
2017-09-25,Monday,,
2017-09-26,Tuesday,,
2017-09-27,Wednesday,,
2017-09-28,Thursday,,
2017-09-29,Friday,,
2017-09-30,Saturday,,1.0
2017-10-01,Sunday,,1.0
2017-10-02,Monday,임시공휴일,1.0
2017-10-03,Tuesday,개천절,1.0
2017-10-03,Tuesday,추석,1.0
2017-10-04,Wednesday,추석,1.0
2017-10-05,Thursday,추석,1.0
2017-10-06,Friday,대체공휴일,1.0
2017-10-07,Saturday,,1.0
2017-10-08,Sunday,,1.0
2017-10-09,Monday,한글날,1.0
2017-10-10,Tuesday,,
2017-10-11,Wednesday,,
2017-10-12,Thursday,,
2017-10-13,Friday,,
2017-10-14,Saturday,,1.0
2017-10-15,Sunday,,1.0
2017-10-16,Monday,,
2017-10-17,Tuesday,,
2017-10-18,Wednesday,,
2017-10-19,Thursday,,
2017-10-20,Friday,,
2017-10-21,Saturday,,1.0
2017-10-22,Sunday,,1.0
2017-10-23,Monday,,
2017-10-24,Tuesday,,
2017-10-25,Wednesday,,
2017-10-26,Thursday,,
2017-10-27,Friday,,
2017-10-28,Saturday,,1.0
2017-10-29,Sunday,,1.0
2017-10-30,Monday,,
2017-10-31,Tuesday,,
2017-11-01,Wednesday,,
2017-11-02,Thursday,,
2017-11-03,Friday,,
2017-11-04,Saturday,,1.0
2017-11-05,Sunday,,1.0
2017-11-06,Monday,,
2017-11-07,Tuesday,,
2017-11-08,Wednesday,,
2017-11-09,Thursday,,
2017-11-10,Friday,,
2017-11-11,Saturday,,1.0
2017-11-12,Sunday,,1.0
2017-11-13,Monday,,
2017-11-14,Tuesday,,
2017-11-15,Wednesday,,
2017-11-16,Thursday,,
2017-11-17,Friday,,
2017-11-18,Saturday,,1.0
