dates,parks,away,home,homewin,etcs,times
2019/09/04,대전,히어로즈,한화,lose,-, 18:30 
2019/09/05,잠실,한화,LG,lose,-, 17:00 
2019/09/08,사직,한화,롯데,lose,-, 18:30 
2019/09/10,대전,KIA,한화,lose,-, 18:30 
2019/09/11,대전,KIA,한화,lose,-, 18:30 
2019/09/12,대전,히어로즈,한화,win,-, 17:00 
2019/09/13,대전,히어로즈,한화,lose,-, 14:00 
2019/09/15,시민,한화,삼성,lose,-, 18:30 
2019/09/16,시민,한화,삼성,win,-, 18:30 
2019/09/17,잠실,한화,두산,lose,-, 18:30 
2019/09/18,잠실,한화,두산,win,-, 18:30 
2019/09/23,대전,LG,한화,win,-, 18:30 
2019/09/25,대전,삼성,한화,win,-, 18:30 
2019/09/02,목동,LG,히어로즈,win,-, 18:30 
2019/09/06,목동,삼성,히어로즈,lose,-, 17:00 
2019/09/08,잠실,히어로즈,두산,win,-, 18:30 
2019/09/09,잠실,히어로즈,두산,win,-, 18:30 
2019/09/10,잠실,히어로즈,두산,lose,-, 18:30 
2019/09/15,목동,KIA,히어로즈,lose,-, 18:30 
2019/09/16,목동,KIA,히어로즈,lose,-, 18:30 
2019/09/17,사직,히어로즈,롯데,win,-, 18:30 
2019/09/18,사직,히어로즈,롯데,win,-, 18:30 
2019/09/19,시민,히어로즈,삼성,win,-, 17:00 
2019/09/20,시민,히어로즈,삼성,win,-, 14:00 
2019/09/22,목동,롯데,히어로즈,win,-, 18:30 
2019/09/23,목동,두산,히어로즈,win,-, 18:30 
2019/09/24,군산,히어로즈,KIA,win,-, 18:30 
2019/09/25,무등,히어로즈,KIA,win,-, 18:30 
2019/09/26,잠실,히어로즈,LG,win,-, 17:00 
2019/09/01,사직,KIA,롯데,lose,-, 18:30 
2019/09/02,시민,KIA,삼성,lose,-, 18:30 
2019/09/03,시민,KIA,삼성,win,-, 18:30 
2019/09/04,무등,두산,KIA,lose,-, 18:30 
2019/09/05,무등,두산,KIA,lose,-, 17:00 
2019/09/12,잠실,KIA,두산,win,-, 17:00 
2019/09/13,잠실,KIA,두산,win,-, 13:30 
2019/09/18,무등,LG,KIA,win,-, 18:30 
2019/09/19,무등,LG,KIA,win,-, 17:00 
2019/09/20,무등,LG,KIA,win,-, 17:00 
2019/09/09,시민,LG,삼성,win,-, 18:30 
2019/09/10,시민,LG,삼성,win,-, 18:30 
2019/09/11,시민,LG,삼성,lose,-, 18:30 
2019/09/12,사직,삼성,롯데,win,-, 17:00 
2019/09/13,사직,삼성,롯데,win,-, 14:00 
2019/09/24,잠실,삼성,두산,win,-, 18:30 
2019/09/19,잠실,롯데,두산,lose,-, 17:00 
2019/09/20,잠실,롯데,두산,lose,-, 17:00 
2019/09/25,잠실,롯데,LG,win,-, 18:30 
2019/09/06,잠실,두산,LG,win,-, 17:00 
