,MSRDT_DE,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
3220,20170324,송파구,0.045,0.019,0.6,0.005,66.0,34.0
3259,20170325,송파구,0.040999999999999995,0.024,0.6,0.005,69.0,39.0
3298,20170326,송파구,0.031,0.035,0.6,0.006,63.0,39.0
3337,20170327,송파구,0.03,0.038,0.8,0.005,71.0,49.0
3376,20170328,송파구,0.040999999999999995,0.021,0.8,0.005,78.0,47.0
3415,20170329,송파구,0.034,0.037000000000000005,0.6,0.005,59.0,36.0
3454,20170330,송파구,0.049,0.024,0.7,0.005,77.0,41.0
3493,20170331,송파구,0.038,0.021,0.6,0.004,47.0,27.0
3532,20170401,송파구,0.022000000000000002,0.033,0.5,0.004,22.0,14.0
3571,20170402,송파구,0.025,0.037000000000000005,0.5,0.005,50.0,30.0
3610,20170403,송파구,0.048,0.032,0.7,0.005,83.0,50.0
3649,20170404,송파구,0.049,0.033,0.7,0.006999999999999999,78.0,37.0
3688,20170405,송파구,0.045,0.025,0.6,0.005,50.0,27.0
3727,20170406,송파구,0.027000000000000003,0.027999999999999997,0.5,0.005,26.0,15.0
3766,20170407,송파구,0.043,0.02,0.6,0.004,44.0,23.0
3805,20170408,송파구,0.045,0.021,0.7,0.005,60.0,34.0
3844,20170409,송파구,0.02,0.034,0.5,0.004,37.0,18.0
3883,20170410,송파구,0.016,0.044000000000000004,0.4,0.004,25.0,12.0
3922,20170411,송파구,0.025,0.039,0.4,0.004,61.0,19.0
3961,20170412,송파구,0.015,0.043,0.4,0.004,81.0,11.0
4000,20170413,송파구,0.026000000000000002,0.04,0.5,0.006,78.0,22.0
4039,20170414,송파구,0.023,0.051,0.5,0.006,64.0,22.0
4078,20170415,송파구,0.026000000000000002,0.044000000000000004,0.6,0.005,70.0,28.0
4117,20170416,송파구,0.038,0.028999999999999998,0.7,0.006,70.0,30.0
4156,20170417,송파구,0.037000000000000005,0.021,0.6,0.005,58.0,24.0
4195,20170418,송파구,0.027000000000000003,0.026000000000000002,0.5,0.004,43.0,20.0
4234,20170419,송파구,0.021,0.032,0.4,0.005,102.0,17.0
4273,20170420,송파구,0.032,0.027000000000000003,0.5,0.005,99.0,21.0
4312,20170421,송파구,0.038,0.025,0.6,0.004,81.0,22.0
4351,20170422,송파구,0.027000000000000003,0.032,0.5,0.004,64.0,21.0
