date,weekday,weekend,rainy,mean_c,O3,PM10,PM25
2017/03/27,Monday,0.0,1.0,7.5,0.038,71.0,49.0
2017/03/28,Tuesday,0.0,0.0,8.0,0.021,78.0,47.0
2017/03/29,Wednesday,0.0,0.0,9.5,0.037000000000000005,59.0,36.0
2017/03/30,Thursday,0.0,0.0,10.5,0.024,77.0,41.0
2017/03/31,Friday,0.0,1.0,8.5,0.021,47.0,27.0
2017/04/01,Saturday,1.0,1.0,10.0,0.033,22.0,14.0
2017/04/02,Sunday,1.0,0.0,9.5,0.037000000000000005,50.0,30.0
2017/04/03,Monday,0.0,0.0,11.5,0.032,83.0,50.0
2017/04/04,Tuesday,0.0,0.0,14.5,0.033,78.0,37.0
2017/04/05,Wednesday,0.0,1.0,12.5,0.025,50.0,27.0
2017/04/06,Thursday,0.0,1.0,10.5,0.028,26.0,15.0
2017/04/07,Friday,0.0,0.0,16.5,0.02,44.0,23.0
2017/04/08,Saturday,1.0,1.0,14.5,0.021,60.0,34.0
2017/04/09,Sunday,1.0,1.0,16.0,0.034,37.0,18.0
2017/04/10,Monday,0.0,0.0,16.5,0.044,25.0,12.0
2017/04/11,Tuesday,0.0,0.0,16.0,0.039,61.0,19.0
2017/04/12,Wednesday,0.0,0.0,12.5,0.043,81.0,11.0
2017/04/13,Thursday,0.0,1.0,13.0,0.04,78.0,22.0
2017/04/14,Friday,0.0,1.0,14.0,0.051,64.0,22.0
2017/04/15,Saturday,1.0,0.0,17.5,0.044,70.0,28.0
2017/04/16,Sunday,1.0,0.0,18.5,0.029,70.0,30.0
2017/04/17,Monday,0.0,1.0,14.5,0.021,58.0,24.0
2017/04/18,Tuesday,0.0,1.0,13.0,0.026,43.0,20.0
2017/04/19,Wednesday,0.0,0.0,12.5,0.032,102.0,17.0
2017/04/20,Thursday,0.0,1.0,14.0,0.027000000000000003,99.0,21.0
2017/04/21,Friday,0.0,0.0,13.5,0.025,81.0,22.0
2017/04/22,Saturday,1.0,0.0,16.0,0.032,64.0,21.0
2017/04/23,Sunday,1.0,0.0,15.5,0.046,58.0,22.0
2017/04/24,Monday,0.0,0.0,14.5,0.036000000000000004,53.0,20.0
2017/04/25,Tuesday,0.0,0.0,16.5,0.041,67.0,46.0
2017/04/26,Wednesday,0.0,0.0,15.5,0.042,49.0,15.0
2017/04/27,Thursday,0.0,0.0,14.0,0.04,52.0,14.0
2017/04/28,Friday,0.0,0.0,15.5,0.045,75.0,23.0
2017/04/29,Saturday,1.0,0.0,17.0,0.037000000000000005,70.0,25.0
2017/04/30,Sunday,1.0,0.0,21.0,0.07400000000000001,103.0,50.0
2017/05/01,Monday,0.0,0.0,20.5,0.056,95.0,46.0
2017/05/02,Tuesday,0.0,0.0,21.5,0.041,106.0,46.0
2017/05/03,Wednesday,1.0,0.0,22.5,0.049,86.0,35.0
2017/05/04,Thursday,0.0,0.0,21.5,0.032,73.0,33.0
2017/05/05,Friday,1.0,0.0,21.5,0.038,65.0,26.0
2017/05/06,Saturday,1.0,0.0,14.5,0.046,243.0,24.0
2017/05/07,Sunday,1.0,0.0,17.0,0.045,112.0,16.0
2017/05/08,Monday,0.0,0.0,17.5,0.042,194.0,42.0
2017/05/09,Tuesday,1.0,1.0,19.0,0.022,136.0,33.0
2017/05/10,Wednesday,0.0,1.0,17.5,0.029,42.0,19.0
2017/05/11,Thursday,0.0,1.0,19.0,0.028,75.0,35.0
2017/05/12,Friday,0.0,0.0,19.0,0.029,78.0,46.0
2017/05/13,Saturday,1.0,1.0,17.5,0.038,59.0,28.0
2017/05/14,Sunday,1.0,0.0,16.0,0.043,70.0,17.0
2017/05/15,Monday,0.0,1.0,16.0,0.033,51.0,13.0
2017/05/16,Tuesday,0.0,0.0,17.5,0.032,39.0,17.0
2017/05/17,Wednesday,0.0,0.0,19.0,0.031,44.0,19.0
2017/05/18,Thursday,0.0,0.0,20.5,0.047,55.0,28.0
2017/05/19,Friday,0.0,0.0,21.5,0.042,57.0,27.0
2017/05/20,Saturday,1.0,0.0,21.0,0.035,48.0,23.0
2017/05/21,Sunday,1.0,0.0,22.0,0.04,33.0,19.0
2017/05/22,Monday,0.0,0.0,22.0,0.032,51.0,30.0
2017/05/23,Tuesday,0.0,1.0,20.5,0.02,41.0,22.0
2017/05/24,Wednesday,0.0,1.0,22.5,0.022,29.0,15.0
2017/05/25,Thursday,0.0,0.0,19.0,0.037000000000000005,45.0,15.0
2017/05/26,Friday,0.0,0.0,17.5,0.037000000000000005,29.0,7.0
2017/05/27,Saturday,1.0,0.0,20.0,0.037000000000000005,40.0,14.0
2017/05/28,Sunday,1.0,0.0,21.0,0.05,53.0,22.0
2017/05/29,Monday,0.0,0.0,23.5,0.057,79.0,33.0
2017/05/30,Tuesday,0.0,0.0,24.5,0.044,56.0,22.0
2017/05/31,Wednesday,0.0,0.0,24.0,0.027000000000000003,45.0,20.0
2017/06/01,Thursday,0.0,0.0,23.5,0.038,46.0,18.0
2017/06/02,Friday,0.0,1.0,21.0,0.038,33.0,9.0
2017/06/03,Saturday,1.0,0.0,21.5,0.04,35.0,12.0
2017/06/04,Sunday,1.0,0.0,21.5,0.036000000000000004,34.0,14.0
2017/06/05,Monday,0.0,1.0,23.0,0.047,29.0,14.0
2017/06/06,Tuesday,1.0,1.0,19.5,0.045,20.0,10.0
2017/06/07,Wednesday,0.0,1.0,17.0,0.024,17.0,9.0
2017/06/08,Thursday,0.0,0.0,20.5,0.055,44.0,27.0
2017/06/09,Friday,0.0,1.0,22.0,0.057,61.0,34.0
2017/06/10,Saturday,1.0,1.0,22.5,0.043,52.0,22.0
2017/06/11,Sunday,1.0,0.0,22.5,0.036000000000000004,31.0,11.0
2017/06/12,Monday,0.0,0.0,22.5,0.049,33.0,11.0
2017/06/13,Tuesday,0.0,1.0,22.0,0.03,40.0,16.0
2017/06/14,Wednesday,0.0,0.0,22.5,0.04,51.0,20.0
2017/06/15,Thursday,0.0,0.0,24.0,0.048,56.0,23.0
2017/06/16,Friday,0.0,0.0,26.5,0.064,75.0,28.0
2017/06/17,Saturday,1.0,0.0,25.5,0.064,56.0,24.0
2017/06/18,Sunday,1.0,0.0,25.5,0.045,50.0,24.0
2017/06/19,Monday,0.0,0.0,25.0,0.034,57.0,25.0
2017/06/20,Tuesday,0.0,1.0,26.5,0.044,63.0,22.0
2017/06/21,Wednesday,0.0,1.0,27.0,0.04,65.0,23.0
2017/06/22,Thursday,0.0,0.0,25.5,0.042,43.0,24.0
2017/06/23,Friday,0.0,0.0,27.5,0.041,51.0,23.0
2017/06/24,Saturday,1.0,1.0,25.0,0.017,49.0,22.0
2017/06/25,Sunday,1.0,1.0,24.5,0.032,36.0,18.0
2017/06/26,Monday,0.0,1.0,25.0,0.037000000000000005,27.0,13.0
2017/06/27,Tuesday,0.0,1.0,26.0,0.04,33.0,17.0
2017/06/28,Wednesday,0.0,0.0,27.0,0.041,51.0,26.0
2017/06/29,Thursday,0.0,0.0,27.0,0.041,50.0,31.0
2017/06/30,Friday,0.0,0.0,26.5,0.04,50.0,34.0
2017/07/01,Saturday,1.0,1.0,26.5,0.031,36.0,26.0
2017/07/02,Sunday,1.0,1.0,24.5,0.016,19.0,11.0
2017/07/03,Monday,0.0,1.0,24.5,0.027000000000000003,19.0,13.0
2017/07/04,Tuesday,0.0,1.0,28.0,0.033,27.0,21.0
2017/07/05,Wednesday,0.0,0.0,28.0,0.043,35.0,24.0
2017/07/06,Thursday,0.0,1.0,29.5,0.038,41.0,28.0
2017/07/07,Friday,0.0,1.0,26.0,0.016,18.0,10.0
2017/07/08,Saturday,1.0,1.0,26.5,0.018000000000000002,22.0,13.0
2017/07/09,Sunday,1.0,1.0,27.0,0.018000000000000002,23.0,13.0
2017/07/10,Monday,0.0,1.0,24.0,0.012,15.0,7.0
2017/07/11,Tuesday,0.0,1.0,26.5,0.035,33.0,21.0
2017/07/12,Wednesday,0.0,1.0,28.0,0.039,43.0,27.0
2017/07/13,Thursday,0.0,0.0,27.5,0.037000000000000005,48.0,31.0
2017/07/14,Friday,0.0,1.0,29.5,0.034,42.0,28.0
2017/07/15,Saturday,1.0,1.0,25.0,0.02,17.0,11.0
2017/07/16,Sunday,1.0,1.0,26.0,0.019,15.0,9.0
2017/07/17,Monday,1.0,1.0,26.5,0.018000000000000002,21.0,12.0
2017/07/18,Tuesday,0.0,1.0,27.5,0.022,24.0,19.0
2017/07/19,Wednesday,0.0,0.0,29.5,0.043,34.0,24.0
2017/07/20,Thursday,0.0,0.0,30.5,0.043,48.0,34.0
2017/07/21,Friday,0.0,0.0,29.5,0.052000000000000005,54.0,40.0
2017/07/22,Saturday,1.0,1.0,30.5,0.038,48.0,39.0
2017/07/23,Sunday,1.0,1.0,27.0,0.029,37.0,29.0
2017/07/24,Monday,0.0,1.0,26.5,0.014,31.0,21.0
2017/07/25,Tuesday,0.0,0.0,30.0,0.024,21.0,13.0
2017/07/26,Wednesday,0.0,0.0,28.5,0.04,15.0,9.0
2017/07/27,Thursday,0.0,1.0,27.5,0.03,25.0,14.0
2017/07/28,Friday,0.0,1.0,26.0,0.013,19.0,14.0
2017/07/29,Saturday,1.0,1.0,27.5,0.026,14.0,7.0
2017/07/30,Sunday,1.0,0.0,29.0,0.038,19.0,15.0
2017/07/31,Monday,0.0,1.0,26.0,0.011,18.0,12.0
2017/08/01,Tuesday,0.0,1.0,28.5,0.022,20.0,11.0
2017/08/02,Wednesday,0.0,0.0,30.0,0.026,32.0,20.0
2017/08/03,Thursday,0.0,0.0,30.5,0.035,21.0,12.0
2017/08/04,Friday,0.0,0.0,30.5,0.043,25.0,17.0
2017/08/05,Saturday,1.0,0.0,31.5,0.035,29.0,19.0
2017/08/06,Sunday,1.0,1.0,31.0,0.023,24.0,17.0
2017/08/07,Monday,0.0,0.0,30.0,0.044,30.0,21.0
2017/08/08,Tuesday,0.0,0.0,28.5,0.052000000000000005,37.0,25.0
2017/08/09,Wednesday,0.0,1.0,28.5,0.032,30.0,14.0
2017/08/10,Thursday,0.0,1.0,25.0,0.027000000000000003,8.0,5.0
2017/08/11,Friday,0.0,1.0,28.0,0.018000000000000002,11.0,5.0
2017/08/12,Saturday,1.0,0.0,28.0,0.022,9.0,4.0
2017/08/13,Sunday,1.0,1.0,26.0,0.021,8.0,5.0
2017/08/14,Monday,0.0,1.0,25.0,0.011,8.0,4.0
2017/08/15,Tuesday,1.0,1.0,22.5,0.011,6.0,3.0
2017/08/16,Wednesday,0.0,1.0,24.0,0.011,7.0,4.0
2017/08/17,Thursday,0.0,1.0,24.5,0.013,11.0,5.0
2017/08/18,Friday,0.0,1.0,27.5,0.014,25.0,15.0
2017/08/19,Saturday,1.0,1.0,26.0,0.021,22.0,11.0
2017/08/20,Sunday,1.0,1.0,24.0,0.025,9.0,5.0
2017/08/21,Monday,0.0,1.0,26.5,0.017,12.0,6.0
2017/08/22,Tuesday,0.0,0.0,27.5,0.023,18.0,10.0
2017/08/23,Wednesday,0.0,1.0,27.5,0.006999999999999999,17.0,8.0
