Date,Rate
2017-10-20,28.66242
2017-10-21,14.01273
2017-10-22,7.64331
2017-10-23,4.45859
2017-10-24,5.09554
2017-10-25,7.00636
2017-10-26,15.28662
2017-10-27,5.73248
2017-10-28,6.36942
2017-10-29,6.36942
2017-10-30,19.10828
2017-10-31,10.19108
2017-11-01,11.46496
2017-11-02,12.73885
2017-11-03,0
2017-11-04,0
2017-11-05,5.09554
2017-11-06,11.46496
2017-11-07,7.00636
2017-11-08,5.09554
2017-11-09,4.45859
2017-11-10,0
2017-11-11,7.00636
2017-11-12,4.45859
2017-11-13,10.19108
2017-11-14,3.18471
2017-11-15,0
2017-11-16,4.45859
2017-11-17,0
2017-11-18,5.73248
2017-11-19,8.28025
2017-11-20,8.28025
2017-11-21,12.73885
2017-11-22,60.50955
2017-11-23,17.19745
2017-11-24,10.19108
2017-11-25,10.82802
2017-11-26,22.29299
2017-11-27,13.37579
2017-11-28,29.9363
2017-11-29,9.55414
2017-11-30,10.82802
2017-12-01,5.73248
2017-12-02,5.09554
2017-12-03,7.64331
2017-12-04,8.91719
2017-12-05,6.36942
2017-12-06,5.09554
2017-12-07,3.82165
2017-12-08,5.09554
2017-12-09,5.73248
2017-12-10,4.45859
2017-12-11,9.55414
2017-12-12,6.36942
2017-12-13,3.82165
2017-12-14,3.18471
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,29.9363
2017-12-20,6.36942
2017-12-21,6.36942
2017-12-22,26.11464
2017-12-23,15.92356
2017-12-24,10.82802
2017-12-25,7.00636
2017-12-26,5.09554
2017-12-27,7.64331
2017-12-28,0
2017-12-29,3.82165
2017-12-30,0
2017-12-31,0
2018-01-01,3.18471
2018-01-02,3.18471
2018-01-03,0
2018-01-04,5.09554
2018-01-05,7.64331
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,0
2018-01-10,0
2018-01-11,3.18471
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,3.82165
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,0
2018-01-27,0
2018-01-28,3.82165
2018-01-29,0
2018-01-30,0
2018-01-31,0
2018-02-01,0
2018-02-02,3.18471
2018-02-03,0
2018-02-04,0
2018-02-05,0
2018-02-06,3.82165
2018-02-07,3.18471
2018-02-08,3.18471
2018-02-09,0
2018-02-10,0
2018-02-11,0
2018-02-12,7.64331
2018-02-13,0
2018-02-14,0
2018-02-15,0
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,3.18471
2018-02-20,0
2018-02-21,0
2018-02-22,9.55414
2018-02-23,3.82165
2018-02-24,0
2018-02-25,0
2018-02-26,3.18471
2018-02-27,0
2018-02-28,3.82165
2018-03-01,5.09554
2018-03-02,0
2018-03-03,5.09554
2018-03-04,0
2018-03-05,4.45859
2018-03-06,17.19745
2018-03-07,5.09554
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,3.82165
2018-03-12,10.19108
2018-03-13,9.55414
2018-03-14,0
2018-03-15,3.18471
2018-03-16,3.82165
2018-03-17,8.91719
2018-03-18,7.00636
2018-03-19,3.18471
2018-03-20,7.64331
2018-03-21,13.37579
2018-03-22,10.19108
2018-03-23,8.28025
2018-03-24,17.83439
2018-03-25,15.92356
2018-03-26,8.28025
2018-03-27,21.0191
2018-03-28,17.19745
2018-03-29,17.19745
2018-03-30,17.19745
2018-03-31,32.48407
2018-04-01,48.40764
2018-04-02,28.02547
2018-04-03,31.84713
2018-04-04,34.3949
2018-04-05,18.47133
2018-04-06,28.02547
2018-04-07,27.38853
2018-04-08,28.66242
2018-04-09,17.83439
2018-04-10,33.75796
2018-04-11,29.9363
2018-04-12,40.12738
2018-04-13,27.38853
2018-04-14,36.94267
2018-04-15,47.7707
2018-04-16,34.3949
2018-04-17,38.21656
2018-04-18,50.31847
2018-04-19,98.08917
2018-04-20,46.49681
2018-04-21,39.49044
2018-04-22,51.59235
2018-04-23,31.21019
2018-04-24,57.96178
2018-04-25,76.43312
2018-04-26,61.78343
2018-04-27,51.59235
2018-04-28,66.24203
2018-04-29,63.05732
2018-04-30,37.57961
2018-05-01,67.51592
2018-05-02,50.95541
2018-05-03,48.40764
2018-05-04,61.14649
2018-05-05,64.96815
2018-05-06,59.23566
2018-05-07,35.03184
2018-05-08,77.07006
2018-05-09,66.87898
2018-05-10,49.68152
2018-05-11,59.87261
2018-05-12,29.9363
2018-05-13,35.66878
2018-05-14,35.66878
2018-05-15,49.04458
2018-05-16,32.48407
2018-05-17,27.38853
2018-05-18,64.33121
2018-05-19,59.87261
2018-05-20,53.50318
2018-05-21,40.12738
2018-05-22,48.40764
2018-05-23,51.59235
2018-05-24,44.58598
2018-05-25,48.40764
2018-05-26,28.66242
2018-05-27,26.11464
2018-05-28,22.29299
2018-05-29,39.49044
2018-05-30,38.8535
2018-05-31,46.49681
2018-06-01,52.86624
2018-06-02,61.14649
2018-06-03,64.33121
2018-06-04,37.57961
2018-06-05,85.98726
2018-06-06,63.69426
2018-06-07,66.24203
2018-06-08,52.86624
2018-06-09,54.14012
2018-06-10,68.7898
2018-06-11,26.11464
2018-06-12,47.7707
2018-06-13,47.13375
2018-06-14,50.95541
2018-06-15,49.68152
2018-06-16,49.04458
2018-06-17,62.42038
2018-06-18,28.02547
2018-06-19,36.94267
2018-06-20,40.12738
2018-06-21,49.04458
2018-06-22,61.14649
2018-06-23,66.87898
2018-06-24,73.88535
2018-06-25,31.21019
2018-06-26,36.30573
2018-06-27,40.76433
2018-06-28,25.4777
2018-06-29,35.66878
2018-06-30,41.40127
2018-07-01,26.11464
2018-07-02,10.82802
2018-07-03,57.32484
2018-07-04,32.48407
2018-07-05,30.57324
2018-07-06,38.21656
2018-07-07,33.75796
2018-07-08,29.29936
2018-07-09,21.0191
2018-07-10,31.84713
2018-07-11,31.21019
2018-07-12,38.8535
2018-07-13,17.83439
2018-07-14,11.46496
2018-07-15,15.92356
2018-07-16,15.28662
2018-07-17,38.8535
2018-07-18,29.29936
2018-07-19,33.12101
2018-07-20,25.4777
